grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude,zipcode
108,JD's Market,"14300 Dessau Rd, Pflugerville, TX 78660",4,30.415746,-97.633445,78660
109,Midtown Grocery,"7010 Easy Wind Dr, Ste A-180, Austin, TX 78752",3.5,30.3391595,-97.7183757,78752
110,Lucky Food Stores,"4327 S 1st St, Austin, TX 78745",5,30.2214,-97.77217,78745
111,H-E-B,"2701 E 7th St, Austin, TX 78702",2.5,30.26048,-97.71157,78702
112,H-E-B plus!,"5000 Gattis School Rd, Hutto, TX 78634",3,30.502584,-97.582422,78634
113,Shahi Foods,"12410 N Lamar Blvd, Austin, TX 78753",3,30.40732079,-97.67911212,78753
114,Randalls,"5145 N FM 620 Rd, Austin, TX 78732",3,30.389089,-97.886448,78732
115,Royal Blue Grocery,"360 Nueces St, Austin, TX 78701",4,30.26768002,-97.749376,78701
116,Red River Market,"3213 Red River St, Austin, TX 78705",3,30.29173,-97.72658,78705
117,Speedway Grocery,"3707 Speedway, Austin, TX 78705",4,30.30017,-97.73347,78705
118,Los Hermanos Supermercado,"1200 W Howard Ln, Ste K, Austin, TX 78753",5,30.4240151,-97.6696899,78753
119,H-E-B,"2000 Ranch Rd 620 S, Lakeway, TX 78734",3.5,30.34488477,-97.96758084,78734
120,Lonestar Souvenir & Food Mart,"502 E 6th St, Austin, TX 78701",2,30.26703,-97.73792,78701
121,General Store,"11003 Harris Branch Pkwy, Austin, TX 78754",2.5,30.34272385,-97.61273956,78754
122,Brookshire Brothers,"14100 Ranch Road 12, Ste 1, Wimberley, TX 78676",3.5,29.99866,-98.09967,78676
123,El Milagro Tortillas,"905 E 7th St, Austin, TX 78702",5,30.26606177,-97.73281661,78702
124,West Gate Grocery,"2623 Jones Rd, Austin, TX 78745",4,30.22503281,-97.80334473,78745
125,Walmart Supercenter,"12900 No I-35 Svc Rd Sb, Austin, TX 78753",2,30.41339781,-97.67595326,78753
126,Star Market Shell,"7930 Thaxton Rd, Austin, TX 78747",3.5,30.15752912,-97.74448223,78747
127,J & H Metromart,"4400 E Ben White Blvd, Austin, TX 78741",5,30.21571,-97.73414,78741
128,Say Hi,"5249 Burnet Rd, Austin, TX 78756",4.5,30.32538,-97.7393,78756
129,Mi Tienda,"8007 Gessner Dr, Austin, TX 78753",3,30.34361,-97.70195,78753
130,Angie's Discount Grocery,"206 W Bowman Rd, Round Rock, TX 78664",4.5,30.52491,-97.687192,78664
131,Barton Creek,"2700 Barton Creek Blvd, Austin, TX 78735",4.5,30.28949,-97.871467,78735
132,Amazon Fresh Grocery Delivery,"Austin, TX 73301",5,30.21927071,-97.74898529,73301
133,H-E-B,"598 E Hwy 290, Dripping Springs, TX 78620",3.5,30.19004426,-98.08173234,78620
134,H E B Plus,"5401 S FM 1626, Kyle, TX 78640",3.5,30.01653293,-97.86163507,78640
135,Any Day Grocery,"919 Springdale Rd, Austin, TX 78702",2.5,30.26094627,-97.69806671,78702
136,Lakeway Market & Deli,"2114 Lakeway Blvd, Lakeway, TX 78734",4.5,30.35853577,-97.97844696,78734
