city,state,zipcode,address,price,bedrooms,bathrooms,square_foot,latitude,longitude,sale_amount,sale_transaction_date
DEL VALLE,TX,78617,13428 LIPTON LOOP,334286.0,3,2.0,1839.0,30.168196,-97.615993,359813.0,2023-08-30
DEL VALLE,TX,78617,13508 LIPTON LOOP,333902.0,4,2.0,2467.0,30.167873,-97.616414,223125.0,2020-11-20
DEL VALLE,TX,78617,5608 SUNDAY SILENCE DR,423909.0,4,2.0,2904.0,30.172655,-97.610881,342188.0,2022-10-21
DEL VALLE,TX,78617,13108 SPIERS WAY,366184.0,3,2.0,2074.0,30.169624,-97.616612,405000.0,2021-12-01
DEL VALLE,TX,78617,12337 PALOMA BLANCA WAY,434308.0,4,3.0,2488.0,30.168164,-97.629669,281250.0,2023-01-25
DEL VALLE,TX,78617,12216 PRAIRIE GLEN CT,321814.0,4,2.0,2142.0,30.161011,-97.635672,402750.0,2021-10-13
DEL VALLE,TX,78617,12217 FERRYSTONE GLEN DR,336587.0,4,2.0,2142.0,30.161276,-97.635501,268750.0,2022-08-10
DEL VALLE,TX,78617,13513 COOMES DR,368066.0,3,2.0,2174.0,30.170088,-97.611447,310000.0,2023-09-18
DEL VALLE,TX,78617,13017 PERCONTE DR,314749.0,3,2.0,1739.0,30.167994,-97.619083,406875.0,2021-12-22
DEL VALLE,TX,78617,4917 IRVINE LN,373097.0,3,2.0,1966.0,30.178765,-97.617357,273125.0,2020-03-18
DEL VALLE,TX,78617,12200 FERRYSTONE CV,391117.0,4,2.0,2640.0,30.160511,-97.63666,391679.0,2022-04-14
DEL VALLE,TX,78617,12209 FERRYSTONE CV,310138.0,3,2.0,2073.0,30.159933,-97.636687,140313.0,2022-07-26
DEL VALLE,TX,78617,6000 TOYE DR,380624.0,3,2.0,2444.0,30.169479,-97.613513,219779.0,2020-04-10
DEL VALLE,TX,78617,6101 RANDLEMAN DR,376221.0,3,2.0,1684.0,30.167902,-97.612341,308000.0,2021-07-13
DEL VALLE,TX,78617,6117 TOYE DR,343867.0,3,2.0,1684.0,30.168037,-97.613043,293125.0,2021-10-05
DEL VALLE,TX,78617,15009 FAGERQUIST RD,1389860.0,3,1.0,3752.0,30.135224,-97.604362,1843053.0,2023-04-27
DEL VALLE,TX,78617,13004 BUENOS AIRES PKWY,435221.0,3,2.0,2380.0,30.166831,-97.620349,350000.0,2021-10-29
DEL VALLE,TX,78617,4941 LEXINGTON MEADOW LN,425839.0,4,2.0,2962.0,30.177663,-97.617123,305250.0,2021-11-15
DEL VALLE,TX,78617,13112 WINTERS CV,429675.0,3,2.0,3012.0,30.170483,-97.61665,400674.0,2022-03-24
DEL VALLE,TX,78617,13316 GUARNERE DR,325875.0,3,2.0,1684.0,30.169449,-97.612677,326563.0,2021-04-30
DEL VALLE,TX,78617,12205 FERRYSTONE GLEN DR,271189.0,3,2.0,1735.0,30.161456,-97.635874,151748.0,2020-08-03
DEL VALLE,TX,78617,12221 FERRYSTONE CV,312191.0,3,2.0,2073.0,30.159722,-97.636279,295688.0,2020-08-18
DEL VALLE,TX,78617,12121 STONEY MEADOW DR,287751.0,3,2.0,1792.0,30.158871,-97.637946,368335.0,2023-06-02
DEL VALLE,TX,78617,12424 PALOMA BLANCA WAY,340415.0,3,2.0,1674.0,30.168153,-97.628502,240130.0,2020-12-18
DEL VALLE,TX,78617,15721 HOKANSON RD,423269.0,4,3.0,3236.0,30.090122,-97.626802,697500.0,2022-10-04
DEL VALLE,TX,78617,6816 FERRYSTONE PASS,262093.0,3,2.0,1640.0,30.160701,-97.637059,201563.0,2020-10-15
DEL VALLE,TX,78617,11613 ARROWMOUND PASS,415735.0,3,2.0,1879.0,30.15408,-97.650155,115193.0,2020-04-04
DEL VALLE,TX,78617,4621 GRANNY DR,734381.0,3,2.0,2149.0,30.181417,-97.553146,850000.0,2021-12-06
DEL VALLE,TX,78617,8421 ELROY RD,389673.0,2,1.0,3062.0,30.132365,-97.621664,15000.0,2022-01-06
DEL VALLE,TX,78617,4616 GRANNY DR APT A,358217.0,3,2.0,1279.0,30.182991,-97.554259,345563.0,2021-05-13
DEL VALLE,TX,78617,15701 FM 812 RD,563206.0,3,2.0,3420.0,30.102077,-97.621191,160000.0,2021-12-30
DEL VALLE,TX,78617,6821 HORSESHOE POND DR,452390.0,4,2.0,3478.0,30.159151,-97.633856,477375.0,2021-09-02
DEL VALLE,TX,78617,12316 STONEY RIDGE BND,325810.0,3,2.0,1966.0,30.159715,-97.635158,252340.0,2020-08-11
DEL VALLE,TX,78617,6809 MOORES FERRY DR,423257.0,5,2.0,2922.0,30.159726,-97.634485,294844.0,2021-11-12
DEL VALLE,TX,78617,12325 STONEY RIDGE BND,341840.0,3,2.0,1966.0,30.159163,-97.635099,517738.0,2022-01-05
DEL VALLE,TX,78617,12308 FERRYSTONE GLEN DR,420686.0,3,2.0,2710.0,30.161308,-97.634456,313831.0,2023-08-24
DEL VALLE,TX,78617,12300 FERRYSTONE GLEN DR,358312.0,4,2.0,2102.0,30.161433,-97.63471,312500.0,2022-05-11
DEL VALLE,TX,78617,12305 FERRYSTONE GLEN DR,348521.0,4,2.0,2102.0,30.160976,-97.634833,286188.0,2020-05-20
DEL VALLE,TX,78617,12304 NOEL BAIN CV,441871.0,4,2.0,3002.0,30.160708,-97.635005,269637.0,2020-01-17
DEL VALLE,TX,78617,6700 HORSESHOE POND DR,449502.0,4,2.0,3262.0,30.160777,-97.63341,268620.0,2020-06-19
DEL VALLE,TX,78617,6720 HORSESHOE POND DR,424472.0,5,2.0,2816.0,30.160225,-97.633764,483395.0,2023-03-30
DEL VALLE,TX,78617,12712 STONEY RIDGE BND,433162.0,5,2.0,2895.0,30.160082,-97.632856,385000.0,2023-02-09
DEL VALLE,TX,78617,6901 HORSESHOE POND DR,425382.0,5,2.0,2816.0,30.158752,-97.634063,543469.0,2022-06-20
DEL VALLE,TX,78617,12619 STONEY RIDGE BND,309680.0,3,2.0,2016.0,30.159289,-97.632737,224000.0,2020-09-15
DEL VALLE,TX,78617,12705 STONEY RIDGE BND,341840.0,3,2.0,1966.0,30.159613,-97.632528,291250.0,2022-05-05
DEL VALLE,TX,78617,12813 STONEY RIDGE BND,384646.0,4,2.0,2243.0,30.160889,-97.632689,328125.0,2022-07-26
DEL VALLE,TX,78617,12817 STONEY RIDGE BND,357036.0,4,2.0,2102.0,30.160949,-97.632813,253356.0,2020-09-22
DEL VALLE,TX,78617,12521 STONEY RIDGE BND,466477.0,5,2.0,2816.0,30.158474,-97.633296,403763.0,2021-05-17
DEL VALLE,TX,78617,7300 DUNGAREES WAY,440337.0,4,3.0,2788.0,30.152112,-97.589836,426563.0,2022-04-12
DEL VALLE,TX,78617,7409 SPRING RAY DR,358538.0,3,2.0,1985.0,30.149183,-97.591303,364264.0,2022-10-24
DEL VALLE,TX,78617,15401 SUMMER RAY DR,392742.0,4,3.0,3267.0,30.150016,-97.591991,239099.0,2021-02-26
