gym_id,gym_name,gym_address,gym_ratings,latitude,longitude,zipcode
195,Orangetheory Fitness - West Lake Hills,"3300 Bee Cave Rd., Ste 200, Austin, TX 78746",4.5,30.27498,-97.79903,78746
196,F45 Training West Oak Hill,"7101 TX-71, Ste E12, Austin, TX 78735",4,30.23540716,-97.87801804,78735
197,1UP Sports Performance,"2000 Windy Ter, Bldg 10, Cedar Park, TX 78613",4,30.4619938,-97.8331384,78613
198,Hutto Family YMCA,"200 Alliance Blvd, Hutto, TX 78634",3.5,30.54334,-97.56597,78634
199,CYCLEBAR,"507 Pressler St, Ste 900, Austin, TX 78703",2.5,30.27252869,-97.76001564,78703
200,A Fit Plan,"15950 Ranch Rd 12, Ste 3, Wimberley, TX 78676",5,30.0214404,-98.1016738,78676
201,Gold's Gym - Austin,"166 Hargraves Dr, Ste D-100, Austin, TX 78737",2.5,30.20445084,-97.97887449,78737
202,F45 Training Jollyville,"7318 McNeil Dr, Ste 106, Austin, TX 78729",4.5,30.4356554,-97.7677744,78729
203,Orangetheory Fitness - Downtown Austin,"401 West 3rd Street, Austin, TX 78701",4,30.2661,-97.74753,78701
204,Transform Boot Camp,"15609 Ronald Reagan Blvd, Ste A160, Leander, TX 78641",4.5,30.56310002,-97.8009016,78641
205,Bc-fit,"17251 Great Oaks Dr, Round Rock, TX 78681",5,30.51405417,-97.73511517,78681
206,Austin Fitness Center,"3100 Slaughter Ln, Austin, TX 78748",4,30.180074,-97.842044,78748
207,Orangetheory Fitness Georgetown,"1500 Rivery Blvd, Ste 340, Georgetown, TX 78628",4.5,30.64996135,-97.68728986,78628
208,Anytime Fitness,"106-116 W Lake Dr, Taylor, TX 76574",4,30.584022,-97.411678,76574
209,Hotworx - Pflugerville,"208 E Wells Branch Pkwy, Ste 240, Pflugerville, TX 78660",5,30.43109544,-97.65162902,78660
210,BodyWise Gym,"2901 Ranch Road 620 N, Austin, TX 78734",3,30.39018968,-97.93799643,78734
211,Austin Affordable Fitness,"708 Robert E Lee Rd, Austin, TX 78704",5,30.262825,-97.7670593,78704
212,Inspire Fitness,"3621 E Whitestone Blvd, Cedar Park, TX 78613",5,30.5394599,-97.7754045,78613
213,Power Performance Training,"321 W Ben White Blvd, Ste 105, Austin, TX 78704",5,30.22335921,-97.76759681,78704
214,Planet Fitness,"2700 W Pecan St, Ste 400, Pflugerville, TX 78660",3.5,30.45079694,-97.65672119,78660
215,Manor Gym,"13419 Hwy 290 E, Bldg 6, Manor, TX 78653",1,30.34742579,-97.51547947,78653
216,Move Sport Ninja Academy,"16808 Joe Barbee Dr, Pflugerville, TX 78660",4.5,30.47001,-97.66411,78660
217,Fitness On Fifth,"3500 Jefferson, Ste 103, Austin, TX 78731",2,30.3080769,-97.7517654,78731
218,Austin Aquatics & Sports Academy,"5513 Southwest Pkwy, Austin, TX 78735",3.5,30.24334,-97.84367,78735
219,Austin Bouldering Project,"4477 S Lamar Blvd, Austin, TX 78745",4,30.2308627,-97.79928432,78745
220,Gold's Gym - Pflugerville,"21315 North Sh 130 Nb, Pflugerville, TX 78660",2,30.498232,-97.5791159,78660
221,Anytime Fitness,"910 W 11th St, S 200, Elgin, TX 78621",2,30.34746,-97.38475,78621
222,Blu Edge Fitness,"5 Brent Blvd, Ste 100, Kyle, TX 78640",2,30.00531,-97.86399,78640
223,Anytime Fitness,"20900 FM 1431, Lago Vista, TX 78645",1,30.48171,-97.975727,78645
224,The Garage Gym at Rock Sports Arena,"3918 Gattis School Rd, Ste 102, Rock Sports Arena, Round Rock, TX 78660",3.5,30.49787,-97.60902,78660
225,Orangetheory Fitness - Leander,"3421 N. Lakeline Blvd., Leander, TX 78641",4,30.54297686,-97.86434819,78641
226,Fierce Fit,"937 Reinli St, Ste 9, Austin, TX 78751",4.5,30.31895021,-97.70900508,78751
227,Planet Fitness,"1245 S US 183, Leander, TX 78641",4,30.561955,-97.848001,78641
228,Next Levels Of Fitness,"7801 N Lamar Blvd, Austin, TX 78752",5,30.34562151,-97.7117926,78752
229,FOGO CrossFit,"4619 S Congress Ave, Ste D, Austin, TX 78745",5,30.21522,-97.76809,78745
230,CrossFit Round Rock,"350 Old West Dr, Ste C, Round Rock, TX 78681",5,30.49124908,-97.6805191,78681
231,Orangetheory Fitness - Saltillo,"1211 East 5th Street, Austin, TX 78702",4,30.263058,-97.730699,78702
232,I Love Kickboxing - Austin,"1700 S Lamar Blvd, Austin, TX 78704",4,30.251461,-97.766109,78704
233,F45 Training Westlake,"3201 Bee Cave Rd, Ste 134, Austin, TX 78746",4,30.2732763,-97.8005775,78746
234,Journey Fitness,"Austin, TX 78701",5,30.27048574,-97.74234639,78701
235,Gold's Gym - Cypress Creek,"1314 Cypress Creek Rd, Cedar Park, TX 78613",2.5,30.4838396,-97.8292638,78613
236,Orangetheory Fitness - Sunset Valley,"5601 Brodie Lane, Ste 1200B, Sunset Valley, TX 78745",4,30.22654546,-97.82138869,78745
237,Anytime Fitness,"21195 Ih 35, Ste 101, Kyle, TX 78640",2.5,30.003999,-97.864441,78640
238,Crossfit Renew,"8120 Research Blvd, Ste 103, Austin, TX 78758",5,30.353206,-97.715664,78758
239,CrossFit SoChac,"11600 Manchaca Rd, Ste 301, Austin, TX 78748",5,30.151727,-97.835648,78748
240,HOTWORX - Georgetown,"940 W University Ave, Ste 115, Georgetown, TX 78626",5,30.63076796,-97.68950494,78626
241,Blue Sky Strongbox Personal Training,"705 Orland Blvd, Austin, TX 78745",5,30.2163,-97.77778,78745
242,CrossFit City Limits,"5206 Eilers Ave, Austin, TX 78751",4.5,30.31458,-97.71649,78751
