grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude
272,Mr Jims Grocery,"302 Loop 212 Murray Avew, Manor, TX 78653",1.0,30.347733,-97.558546
273,Walmart Supercenter,"690 Old San Antonio Rd, Buda, TX 78610",2.0,30.08638484646935,-97.82489837288432
274,Dollar General,"6800 W Gate Blvd, Ste 115, Austin, TX 78745",2.5,30.20919,-97.8158
275,Dollar General,"1147 Hwy 21 W, Cedar Creek, TX 78612",1.0,30.085926,-97.49624
276,Valero,"1779 Wells Branch Pkwy, Austin, TX 78728",2.0,30.4354548880131,-97.6749103335894
277,Prince Food Mart,"1101 N Main St, Taylor, TX 76574",4.0,30.5773334503174,-97.410758972168
278,Hollingsworth Corner Exxon & General Store,"9418 E State Hwy 71, Spicewood, TX 78669",1.5,30.461981,-98.159584
279,H-E-B,"598 EHwy Us 290, Dripping Springs, TX 78620",3.5,30.189511,-98.081328
280,H-E-B,"1080 US 290, Elgin, TX 78621",1.5,30.346150259699,-97.384050978081
281,Wag-A-Bag Grocery No 3,"602 E University Ave, Georgetown, TX 78626",4.5,30.6332590430975,-97.6716569066048
282,Dollar General,"4800 ROSS RD, Del Valle, TX 78617",1.5,30.182456,-97.613009
283,Dollar General,"6729 Manor Road, Austin, TX 78723",2.0,30.311161,-97.66567
284,Natural Grocers,"1301 W University Ave, Georgetown, TX 78628",3.0,30.63216,-97.70087
285,Red Rock General Store & Feed,"106 Lentz Main St, Red Rock, TX 78662",3.5,29.95932,-97.4468799
286,Dollar General,"108 ROYAL RD, Cedar Creek, TX 78612",1.0,30.046892,-97.544153
287,Step-In Grocery,"7309 Cameron Rd, Austin, TX 78752",4.5,30.328454,-97.69016
288,Kountry Kitchen At Hollingsworth Corner,"9418 E State Highway 71, Spicewood, TX 78669",2.5,30.462226,-98.15969
289,Dollar General,"501 W FRONT ST, Hutto, TX 78634",3.0,30.5411,-97.5498
290,Dollar General,"8017 BRONCO LN, Lago Vista, TX 78645",2.5,30.478683,-97.97374
291,Dollar General,"9600 Manchaca Rd, Austin, TX 78748",2.5,30.176622,-97.823044
292,Dollar General,"9616 N Lamar Blvd, Ste 120, Austin, TX 78753",2.0,30.367004,-97.696081
293,Crystal Food Mart,"1320 Chisholm Valley Dr, Round Rock, TX 78681",3.0,30.488571,-97.695518
294,Walmart Supercenter,"620 S Interstate 35, Georgetown, TX 78628",2.0,30.64509647354915,-97.69195117287084
295,Dollar General,"850 VETERANS DR, Kyle, TX 78640",2.5,29.996379,-97.88441
296,High Country Market & GastroPub,"3701 Gattis School Rd, Round Rock, TX 78664",3.5,30.4968062,-97.6163901
297,Saritas Meat Market,"1724 N Mays St, Round Rock, TX 78664",5.0,30.52396,-97.6865
298,Kwik Chek,"14620 Ranch Rd 12, Wimberley, TX 78676",4.5,30.0045592443297,-98.1024182784975
299,Dollar General,"709 W STASSNEY LN, Austin, TX 78745",3.0,30.208337,-97.783273
300,Dollar General,"11801 OLD 2243 W, Leander, TX 78641",2.0,30.577376,-97.868187
301,Mi Rancho Meat Market Kyle Texas,"1095 Windy Hill Rd, Kyle, TX 78640",3.0,30.0321754158793,-97.8302750279368
302,Calkins Country Store,"22657 Nameless Rd, Leander, TX 78641",1.0,30.5695343017578,-97.9432525634766
303,Sac-N-Pac Stores,"6200 Jack C Hays Trl, Kyle, TX 78640",1.0,30.0129871368408,-97.891731262207
304,Dollar General,"2400A W Hwy 290, Dripping Springs, TX 78620",2.5,30.2061862,-98.123419
305,Dollar General,"6010 E RIVERSIDE DR, Austin, TX 78741",3.0,30.226938,-97.70643
306,MP Halal Meat Market & Mediterranean Grocery,"13945 US-183, Austin, TX 78717",4.0,30.471985144130983,-97.79692434111077
307,Dollar General,"6600 FM 969, Austin, TX 78724",2.5,30.28466,-97.6572
308,Walmart Supercenter,"1548 Fm 685, Pflugerville, TX 78660",2.0,30.453396991685327,-97.60671297432933
309,Family Grocery,"618 Fm 685, Pflugerville, TX 78660",1.0,30.44241,-97.6105
310,Dollar General,"1401 S. Pleasant Valley Rd., Austin, TX 78741",1.0,30.239464,-97.718258
311,Dollar General,"825 E Rundberg Ln, Ste G1, Austin, TX 78753",2.0,30.35667,-97.68704
312,Dollar General,"13712 FM 969, Austin, TX 78724",1.0,30.2502322716997,-97.58798739888216
313,Dollar General,"13903 Fm 812 Rd, Del Valle, TX 78617",1.0,30.12034,-97.63628
314,La Hacineda Meat Market,"730 W Stassney Ln, Ste 105, Austin, TX 78745",2.0,30.209817,-97.78204
315,Un Dollar Y Mas,"2798 Goforth Rd, Kyle, TX 78640",2.5,30.0028685005984,-97.8252419367844
316,Schwans,"1200 N Industrial Blvd, Round Rock, TX 78681",1.0,30.52219,-97.69473
