school_id,school_name,school_address,school_ratings,latitude,longitude,zipcode
206,Manor Independent School District,"10335 US Hwy 290 E, Manor, TX 78653",3,30.344791,-97.57224,78653
207,mi casita montessori,"1211 Pkwy Austin, Austin, TX 78703",5,30.27821213,-97.75135067,78703
208,Spark Learning,"2517 Enfield Rd, Austin, TX 78703",5,30.2896099,-97.7710876,78703
209,Idea Bluff Springs,"1700 E Slaughter Ln, Austin, TX 78747",1.5,30.15357487,-97.76908896,78747
210,IDEA Health Professions,"5816 Wilcab Rd, Austin, TX 78721",5,30.2738526,-97.6759167,78721
211,Berlitz Language Center,"7000 Mopac Service Rd, Ste 200, Austin, TX 78731",5,30.35343767,-97.74946783,78731
212,Eco Kids Preschool,"8201 Cross Park Dr, Austin, TX 78754",3.5,30.330899,-97.666552,78754
213,The Goddard School,"301 Medical Pkwy, Lakeway, TX 78738",4.5,30.33316072,-97.97081048,78738
214,Cool Panda Chinese Learning for Kids,"2320 Gracy Farms Ln, Apt 1231, Austin, TX 78756",5,30.4038178,-97.7089922,78756
215,Veritas Academy,"13401 Escarpment Blvd, Austin, TX 78739",5,30.16336626,-97.91493505,78739
216,A New Beginning School of Massage,"2525 Wallingwood Dr, Ste 1501, Austin, TX 78746",3.5,30.263481,-97.784448,78746
217,Little Wonders Early Childhood Development Center,"2010 Koenig Ln, Austin, TX 78756",4,30.33454,-97.73863,78756
218,Figment Creative Labs - Children's Art Classes,"7809 Brodie Ln, Austin, TX 78745",5,30.20429,-97.83632,78745
219,Austin LSAT Prep,"8705 Shoal Creek Blvd, Ste 201, Austin, TX 78757",5,30.373578,-97.736027,78757
220,Helping Hands Montessori Services,"3300 Laguna Dr, Austin, TX 78741",5,30.21943,-97.7363699,78741
221,BeVelle Barber School,"2015 E Riverside Dr, Austin, TX 78741",4,30.24054,-97.728267,78741
222,Clear Shot Austin,"824 Betterman Dr, Pflugerville, TX 78660",5,30.4717407,-97.6310272,78660
223,Cedars International Academy,"8416 N I H 35, Austin, TX 78753",5,30.348298,-97.695364,78753
224,High Tide Swimming,"1250 South A W Grimes Blvd, Round Rock, TX 78664",5,30.500197,-97.656815,78664
225,Harmony School Of Excellence,"2100 E Saint Elmo Rd, Austin, TX 78744",2,30.21052,-97.74632,78744
226,Freestyle Languages,"Austin, TX 78715",4.5,30.1992999,-97.8088391,78715
227,Austin Driving School,"3654 Bee Cave Rd, Ste C, West Lake Hills, TX 78746",2,30.27996854,-97.80596284,78746
228,Athena Montessori Academy,"1503 Morgan Ln, Austin, TX 78704",5,30.229071,-97.78112,78704
229,Primrose School of Bee Cave,"3801 Juniper Trce, Bee Cave, TX 78738",4,30.3086952,-97.93555893,78738
230,One World Montessori,"1701 Scofield Ln, Austin, TX 78727",4.5,30.41541,-97.68885,78727
231,Cedars Montessori School of Oak Hill,"9704 Circle Dr, Austin, TX 78736",3,30.2439541,-97.92334804,78736
232,Cordovan Art School & Pottery Parlor,"8108 Mesa Dr, Ste B-102, Austin, TX 78759",4.5,30.37307566,-97.75692763,78759
233,Atelier 3-D,"Austin, TX 78702",4.5,30.26326544,-97.71431926,78702
234,Sapientia Montessori School,"1220 Cottonwood Creek Trl, Cedar Park, TX 78613",4.5,30.53211569,-97.80636796,78613
235,Round Rock High School,"201 Deep Wood Dr, Round Rock, TX 78681",2.5,30.509139,-97.698821,78681
236,Sun Moon & Stars Learning Center,"3808 /3810 S 1st St, Austin, TX 78704",4.5,30.22817,-97.76872,78704
237,Chakra Kids Yoga,"2324 E Caesar Chavez, Austin, TX 78702",5,30.25511,-97.7181,78702
238,Getprep Academy,"11612 Bee Cave Rd, Austin, TX 78738",5,30.31072,-97.91705,78738
239,HOFT Institute,"2400 Pearl St, Austin, TX 78705",4,30.2885,-97.74703,78705
240,Joslin Elementary,"4500 Manchaca Rd, Austin, TX 78745",4.5,30.22774738,-97.79034995,78745
241,Southern Careers Institute - Austin,"1701 W. Ben White Blvd, Suite 100, Austin, TX 78704",2,30.22711,-97.78468,78704
242,Nido Verde Di Reggio Emilia,"1701 W Anderson Ln, Austin, TX 78757",5,30.35251567,-97.7233582,78757
243,Sunrise Montessori Preschool,"60 Limmer Lp, Round Rock, TX 78665",4.5,30.561652,-97.6042724,78665
244,St Stephen's Episcopal School,"6000 Fm 3237, Wimberley, TX 78676",5,30.0366823,-98.14012332,78676
245,Prodigy Child Development Center,"2300 Cedar Bend Dr, Austin, TX 78758",4,30.41260552,-97.70255194,78758
246,The Modern Mystery School - Texas,"5555 N Lamar Blvd, Ste J125, Austin, TX 78751",4.5,30.32319529,-97.72499448,78751
247,Wesley School,"6100 Berkman Dr, Austin, TX 78723",5,30.31613731,-97.69291687,78723
248,Texas School For the Blind and Visually Impaired,"1100 W 45th St, Austin, TX 78756",5,30.31615829,-97.73821259,78756
249,Harmony School of Science - Austin,"11800 Stonehollow Dr, Austin, TX 78758",4,30.40058,-97.70852,78758
250,Covenant Presbyterian Preschool and Childs Dayout,"3003 Northland Dr, Austin, TX 78757",5,30.33452034,-97.7531662,78757
251,Creative World School- Leander,"10836 E Crystal Falls Rd, Leander, TX 78641",2,30.56605311,-97.81633432,78641
252,The Learning Experience - Hutto,"20908 Burgan Path, Hutto, TX 78634",4.5,30.4960136,-97.5842666,78634
