park_id,park_name,park_address,park_ratings,zipcode,latitude,longitude
1,Pease Park,"1100 Kingsburry St, Austin, TX 78799",4.5,78799,30.2814184854499,-97.7519342775779
2,Zilker Park,"2100 Barton Springs Rd, Austin, TX 78704",4.5,78704,30.266852457650774,-97.77584897644836
3,Town Lake Metropolitan Parks,"Austin, TX 78701",5.0,78701,30.2708947256967,-97.7648599185516
4,Mueller Lake Park,"4550 Mueller Blvd, Austin, TX 78723",4.5,78723,30.3051045,-97.7034921
5,Barton Creek Greenbelt,"3755-B Capital Of Texas Hwy, Austin, TX 78704",4.5,78704,30.24718379864387,-97.8126878589384
6,Mount Bonnell,"3800 Mt Bonnell Rd, Austin, TX 78731",4.5,78731,30.32104,-97.7735299
7,McKinney Falls State Park,"5808 Mckinney Falls Pkwy, Austin, TX 78744",4.0,78744,30.183657949062724,-97.72219172161893
8,Tom Hughes Park,"12714 Hughes Park Rd, Austin, TX 78732",4.5,78732,30.397140424988013,-97.88055499078057
9,Northwest District Park,"7000 Ardath St, Austin, TX 78757",4.5,78757,30.3491338250166,-97.7399307005363
10,Mayfield Park,"3505 W 35th St, Austin, TX 78703",4.5,78703,30.3124609,-97.77061702270184
11,Walnut Creek Metropolitan Park,"12138 N Lamar Blvd, Austin, TX 78758",4.5,78758,30.3991227,-97.6794893
12,Alliance Children’s Garden,"1000 Barton Springs Rd, Butler Park, Austin, TX 78704",5.0,78704,30.26188388845148,-97.7543280467874
13,Hippie Hollow Park,"7000 Comanche Trl, Austin, TX 78732",4.0,78732,30.414265696199134,-97.88651177462158
